Title,URL,Pub_Date,PoCOrganisation,Format,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
"Acid sulfate soils of Southern Bribie Island, South East Queensland - CABBI",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1436F643-BE5C-4F7E-9C59-6FD2F24B98B4},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of Tannum Sands to Gladstone - Central Queensland - CQAG,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EA642254-0B40-45D2-9919-0E6167968ECC},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Airlie Beach area of North Queensland - MWQA,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EDAF6C9B-1752-47C2-A546-432669FE7007},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Bajool-Port Alma area of Central Queensland - CQAB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8B7A1E59-8836-48FA-8155-DE51C2392180},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Corio Bay Area of Central Queensland - CQAC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D7E3941B-1406-4AC6-B403-44B79DD4A7CA},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Logan-Coomera area of South East Queensland - SEAL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8625CA59-B106-4B83-86FA-BF48F0890579},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Mackay area of North Queensland - MWQM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5CDAAC53-E228-454D-ABEB-9B9CECA252F9},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Maroochy-Caloundra area of South East Queensland - SEAM,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9716D072-86C4-4615-AFEC-FF50B121C0E9},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Maryborough area of South East Queensland - MAC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={134CA817-97B4-46AC-AC4B-E9CA15C86F5C},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Narrows area of Central Queensland - CQAN,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A456AF7D-EFC6-4B63-BE1F-6ED859D4E322},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Pine Rivers area of South East Queensland - MAS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={FB18C3B2-BFD9-47C7-B9ED-BF053B873B74},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Sarina area of North Queensland - MWQS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4B0C7466-BE2E-4CF8-A234-AE5F8409EFC3},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils of the Yeppoon area of Central Queensland - YAS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7D586601-A95D-4338-80A3-26AA82EEA141},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Acid sulfate soils series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2D77EEBD-B77A-41B1-9F03-70DE65C434B4},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Active crop groups 1987 to 2019,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={11C5BF7D-06D1-4871-A6E0-11C4D5CC9E89},19/07/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,AGRICULTURE,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Aquatic conservation assessment - Cape York catchments - non-riverine,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A083284E-831A-4C90-8131-DFE959697DDB},9/12/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Cape York catchments - riverine,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9564F418-BF15-4AC3-927B-B4F12945837F},9/12/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Eastern Gulf of Carpentaria,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={84012EA6-0D6A-4400-BEE0-D9BAD8586D0A},30/06/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Great Barrier Reef catchments - non-riverine,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9536B4CC-4CFD-4389-872E-E9D4B69BEAC1},15/04/2011,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Great Barrier Reef catchments - riverine,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={13D3C0FA-683D-4988-A7F5-AD2093C60A95},24/04/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Lake Eyre and Bulloo Basins,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={90CBBAFA-2C0E-402A-A5EE-41739FD181AA},30/06/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Queensland Murray Darling basin catchments - non-riverine,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D971DEC1-D39E-4FD2-8950-0B3FE0E5E404},4/10/2011,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Queensland Murray Darling basin catchments - riverine,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4B862493-6DB1-401A-8053-CD5FABA17892},19/09/2011,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - South East Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={01950730-749B-4972-A057-5AB796CA86EF},9/10/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Wide Bay - Burnett catchments - non-riverine,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4852ED33-F12B-40FC-AD76-318E0F47E28F},4/10/2011,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Wide Bay - Burnett catchments - riverine,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2E281956-96F0-4AFE-BBC4-2D8B8CC3C02D},19/09/2011,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment - Southern Gulf Catchments,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C269263B-0F03-4F43-8619-17B0E428BB90},30/08/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Aquatic conservation assessment series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5BCDEEDF-D464-4046-8823-FB2E6B728045},21/03/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Biodiversity status of 2017 remnant regional ecosystems - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8FDF54D2-654C-4822-8295-1D8E8E772373},14/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
Biodiversity status of pre-clearing and 2017 remnant regional ecosystems - Queensland series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={01972496-CD6D-4314-B0C0-DA0E0421FB0A},14/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
Biodiversity status of pre-clearing regional ecosystems - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={22E1BC4E-BDFA-470A-AED8-04F38B4FCFC3},14/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
Biogeographic Bioregions and Subregions combined with IBRA - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={88509406-B190-4864-B545-02AA4B259E74},20/08/2010,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
Biogeographic regions - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D66120B3-B705-4BEC-B22C-E9AD6674F776},20/08/2010,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
Biogeographic sub regions - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E73729D1-76F9-45A9-B6E8-ECEAACBE204B},20/08/2010,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
Broad vegetation groups - pre-clearing and 2017 remnant - Queensland series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={68F91B63-55D3-4954-A36C-1D6E0054CF1E},14/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,John Neldner,Department of Environment and Science,completed
Burdekin basin simple soil erodibility - Central and North Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EAB74ADB-CA30-4862-85A5-89620CC51BF2},31/03/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Burdekin basin soil erodibility - Central and North Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={419C0F7C-8241-4803-885C-C79F8399603D},31/03/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Burdekin basin soil erodibility with surface soil thickness - Central and North Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D7058CC4-F084-45CD-BC70-B83BD6D521B3},31/03/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Burdekin basin subsoil erodibility - Central and North Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AFACE6FF-B171-4780-B266-297FE8387DD5},31/03/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Burdekin basin surface soil erodibility - Central and North Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={8F9124B5-CC7B-4FBC-AFC2-C19BACC509C8},31/03/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Consistent Climate Scenarios,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D947B367-9EAF-4228-99EC-6D9902A6A360},8/05/2015,Department of Environment and Science,TSV,Dataset,CLIMATE INDICATORS,OFFICIAL,John Carter,Department of Environment and Science,completed
Dominant soil orders of Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A4EAC62F-A8F4-4E98-A52F-95A9F67AEA36},31/12/2003,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Environmental characteristics - Burdekin,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={FEEA2E3C-7642-4E05-A92D-CD1764070D0D},25/05/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Environmental characteristics - Mackay-Whitsunday,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F9E299BE-E1B2-44BD-8FAE-EF1AF7E89CC0},25/05/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Environmental characteristics - Wet Tropics,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={87BAE5A5-575E-4B53-817E-FD3DCFACF3F5},1/08/2011,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Environmental characteristics series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CBC843E4-B562-4DF9-ACA0-9E4A5193E89B},21/03/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Fitzroy NRM Region simplified soil erodibility - Central Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1098A0AA-5411-47AB-A1CA-0DBC3663C35F},24/04/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Fitzroy NRM Region soil erodibility - Central Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={211E6D7C-0FE1-41F3-A0D8-FDF44FE983EF},24/04/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Fitzroy NRM Region soil erodibility with surface soil thickness - Central Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A8F6A778-1DF4-454F-970B-E0DC915556BF},24/04/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Fitzroy NRM Region subsoil erodibility - Central Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7C965FF0-7157-4C5B-A436-ADA603CB3BDF},11/05/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Fitzroy NRM region surface soil erodibility - Central Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={545752E7-06DB-4AA0-B6B1-22539086FD14},24/04/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Flora Survey Trigger Map for Clearing Protected Plants in Queensland - Version 7.1,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6F958DFC-C7F4-4F59-8FBC-A0E73770B720},26/06/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Foliage projective cover 2010 - Adavale,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B36F20B3-AB4F-49A1-A3CF-96CBE2916C36},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Alpha,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={220D9211-EFEE-4F26-9A1D-EFF61B9BDB39},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Aramac,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5511CADF-5934-49BA-9E7D-CCEDD87D3B20},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Arizona,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1FC0A528-BC6F-46F0-A3BE-FC3A978312BB},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Arrabury,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5FD3AF24-5F56-4899-837E-11A90BE4BD04},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Atherton,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={77F46A0E-4351-4850-91ED-72F1CE794EAC},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Badu Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={35160C8A-B684-4C7C-B088-B794B53AD3C4},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Bedourie,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={950F93C1-4C5B-4D0D-81F9-A239B707F14C},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Bellfield,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={714549A3-D71F-4DEE-91D9-65F8FEA58FC8},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Bentink Island,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5397E644-C4B5-4DF8-B061-D03A2769D249},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Birdsville,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={45681451-E087-4BFC-800D-1A08B6B8C561},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Blackwater,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A9A06430-F598-4999-BB7E-02CB832CB8C8},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Bollon,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C737517E-B249-4653-AA06-235641AEE503},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Boulia,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={263164C2-0E48-4C51-8EC3-CA466C4BCE21},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Bransby,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9700BA75-76ED-4F75-BAA8-36EB49A5F81C},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Bulimba,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E71CD394-D8F1-467A-B097-19FD9367E768},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Bundaberg,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1C587E47-FAF3-418B-9E76-74D143E72BCA},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Burketown,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={768E288E-1435-4799-B399-4A49CEDDB8D6},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Cadell,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B7EC05D7-FBFD-4974-937F-E8D1A23D8AD7},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Cairns,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C6824D9A-050D-452E-B7CA-7BAE4A6E4E97},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Cameron Corner,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={13C9430D-0384-4642-AB11-04FF5587A7D6},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Camooweal,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BB8B193B-71A6-4531-81E7-4BC0F680D0A6},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Cape Keerweer,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={24BD1F2B-2428-4D4C-8C2B-55E146BD44A5},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Cape York,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E044119D-869E-40A2-9D3F-A4F4CF140ECF},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Carlo,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={10B49831-8F8F-499D-A87A-DF6176E8039E},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Foliage projective cover 2010 - Carnarvon,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EB5357A4-F55D-4B9B-8746-047C637DF5F3},29/02/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION COVER,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
