#,Name,URL,Description,Categories,Tags,Department,Owner,Created date,Resource name,Resource description,Resource format,Resource size (bytes),Resource with API,Resource URL,Resource file,Resource created,Resource last modified,Resource next review,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
33,Biodiversity status of pre-clearing and 2017 remnant regional ecosystems - Queensland series,https://www.data.qld.gov.au/dataset/biodiversity-status-of-pre-clearing-and-2017-remnant-regional-ecosystems-queensland-series,"Version 11 - Regional ecosystems are vegetation communities in a bioregion that are consistently associated with a particular combination of geology, landform and soil.",Environment; Maps and geospatial;,,Environment and Science,opendata@des.qld.gov.au,16/01/2020,Biodiversity status of pre-clearing regional ecosystems Ÿ?? Queensland,"Version 11 - Pre-clearing regional ecosystems are vegetation communities in a bioregion that are consistently associated with a particular combination of geology, landform and soil.",Esri File Geodatabase,596 MiB,,https://www.data.qld.gov.au/dataset/biodiversity-status-of-pre-clearing-and-2017-remnant-regional-ecosystems-queensland-series/resource/87f4982a-4551-4ba9-8f22-49a63cc6913c,"http://qldspatial.information.qld.gov.au/catalogue/custom/search.page?q=""Biodiversity status of pre-clearing regional ecosystems Ÿ?? Queensland""",16/01/2020,undefined,undefined,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
391,Biogeographic Bioregions and Subregions combined with IBRA - Queensland,https://www.data.qld.gov.au/dataset/biogeographic-bioregions-and-subregions-combined-with-ibra-queensland,"Bioregions and subregions of Queensland, version 5.0 - 2010. Queensland has been divided into 13 bioregions and 132 subregions. Bioregions represent broad landscape patterns that are the result of the interplay between factors including geology, climate and biota.",Maps and geospatial; Sciences;,,Environment and Science,opendata@des.qld.gov.au,29/07/2015,Biogeographic Bioregions and Subregions combined with IBRA - Queensland,"Bioregions and subregions of Queensland, version 5.0 - 2010. Queensland has been divided into 13 bioregions and 132 subregions. Bioregions represent broad landscape patterns that are the result of the interplay between factors including geology, climate and biota.",Esri File Geodatabase,15 MiB,,https://www.data.qld.gov.au/dataset/biogeographic-bioregions-and-subregions-combined-with-ibra-queensland/resource/cc9a2eaf-ccee-4689-a7c8-66180bf938c2,"http://qldspatial.information.qld.gov.au/catalogue/custom/search.page?q=""Biogeographic Bioregions and Subregions combined with IBRA - Queensland""",3/12/2020,undefined,undefined,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
574,Biogeographic regions - Queensland,https://www.data.qld.gov.au/dataset/biogeographic-regions-queensland,"Bioregions of Queensland, version 5.0 - 2010. Queensland has been divided into 13 bioregions. Bioregions represent broad landscape patterns that are the result of the interplay between factors including geology, climate and biota.",Maps and geospatial; Sciences;,,Environment and Science,opendata@des.qld.gov.au,4/02/2013,Biogeographic regions - Queensland,"Bioregions of Queensland, version 5.0 - 2010. Queensland has been divided into 13 bioregions. Bioregions represent broad landscape patterns that are the result of the interplay between factors including geology, climate and biota.",Esri File Geodatabase,7 MiB,,https://www.data.qld.gov.au/dataset/biogeographic-regions-queensland/resource/688a2d12-d901-4ef0-9847-0d3f15fcb0f6,"http://qldspatial.information.qld.gov.au/catalogue/custom/search.page?q=""Biogeographic regions - Queensland""",2/03/2020,undefined,undefined,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
437,Biogeographic sub regions - Queensland,https://www.data.qld.gov.au/dataset/biogeographic-sub-regions-queensland,"Subregions of Queensland, version 5.0 - 2010. Queensland has been divided into 132 subregions. Subregions represent finer scale climatic, landform, geological, topographical, vegetation and biota patterns.",Maps and geospatial; Sciences;,,Environment and Science,opendata@des.qld.gov.au,11/06/2014,Biogeographic sub regions - Queensland,"Subregions of Queensland, version 5.0 - 2010. Queensland has been divided into 132 subregions. Subregions represent finer scale climatic, landform, geological, topographical, vegetation and biota patterns.",Esri File Geodatabase,14 MiB,,https://www.data.qld.gov.au/dataset/biogeographic-sub-regions-queensland/resource/1f9e513f-b426-4f6e-a5ee-4e502f68edf2,"http://qldspatial.information.qld.gov.au/catalogue/custom/search.page?q=""Biogeographic sub regions - Queensland""",2/03/2020,undefined,undefined,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
194,Botanical Dictionary Queensland 2019,https://www.data.qld.gov.au/dataset/botanical-dictionary-queensland-2019,Botanical dictionary based on the Queensland Herbarium's  [Census of the Queensland Flora 2019](https://data.qld.gov.au/dataset/census-of-the-queensland-flora-2019/).  Add as a custom dictionary in Microsoft Office applications.,Environment; Sciences;,Botanical; Dictionary; Spelling;,Environment and Science,opendata@des.qld.gov.au,9/12/2017,Botanical Dictionary for Queensland 2019,Botanical dictionary based on the Queensland Herbariums Census of the Queensland Flora 2019. Add as a custom dictionary in Microsoft Office applications.,Plain text,329 KiB,,https://www.data.qld.gov.au/dataset/botanical-dictionary-queensland-2019/resource/933e81c8-02c0-41f9-8f5a-19556ba03016,https://www.data.qld.gov.au/dataset/5eb89dcf-fa10-4c23-bb64-c52ecf9246d2/resource/933e81c8-02c0-41f9-8f5a-19556ba03016/download/bot2019_censusunicode.txt,21/09/2017,31/01/2020,undefined,Dataset,VEGETATION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
46,Broad vegetation groups - pre-clearing and 2017 remnant - Queensland series,https://www.data.qld.gov.au/dataset/broad-vegetation-groups-pre-clearing-and-2017-remnant-queensland-series,"Version 4.0 pre-clearing and 2017 remnant Broad Vegetation Groups of Queensland (BVG), derived from the regional ecosystem mapping. The 1:1 million BVG is added by lookup table derived from the Regional Ecosystem Description Database (REDD). The dominant BVG 1:1 million (DBVG_1M) is determined by percentages of each BVG.",Maps and geospatial; Sciences;,,Environment and Science,opendata@des.qld.gov.au,20/02/2019,Pre-clearing broad vegetation groups - Queensland,"Version 4.0 Pre-clearing Broad Vegetation Groups of Queensland (BVG), derived from the regional ecosystem mapping. The 1:1 million BVG is added by lookup table derived from the Regional Ecosystem Description Database (REDD). The dominant BVG 1:1 million (DBVG_1M) is determined by percentages of each BVG. The dominant BVG 1:2 million and BVG 1:5 million are added by lookup table according to the dominant BVG 1:1 million.",Esri File Geodatabase,688 MiB,,https://www.data.qld.gov.au/dataset/broad-vegetation-groups-pre-clearing-and-2017-remnant-queensland-series/resource/70cec2d7-b520-4164-8020-ca9688ab3423,"http://qldspatial.information.qld.gov.au/catalogue/custom/search.page?q=""Pre-clearing broad vegetation groups - Queensland""",31/03/2020,undefined,undefined,Dataset,VEGETATION,OFFICIAL,John Neldner,Department of Environment and Science,completed
556,Census of the Queensland Flora 2013,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2013,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'.
Please refer to [Flora census web page](http://www.qld.gov.au/environment/plants-animals/plants/herbarium/flora-census/index.html ""Flora census web page"") for further information. ['Introduction to the Census of 
the Queensland Flora 2013'](https://www.qld.gov.au/environment/assets/documents/plants-animals/herbarium/qld-flora-census.pdf ""Introduction to the Census of 
the Queensland Flora 2013"") can also be viewed from this site.",Environment; Sciences;,The Science Sandpit; community; environment; flora; science;,Environment and Science,opendata@des.qld.gov.au,28/06/2013,All combined records,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'.
All resources combined into 1.",Excel XLSX,4.5 MiB,,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2013/resource/9c726448-0852-423d-aad7-25b6167629b0,https://data.des.qld.gov.au/__data/assets/excel_doc/0027/83358/census-2013-combined.xls,27/06/2013,21/08/2017,undefined,Dataset,VEGETATION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
441,Census of the Queensland Flora 2014,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2014,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'.
Please refer to [Flora census web page](http://www.qld.gov.au/environment/plants-animals/plants/herbarium/flora-census/index.html ""Flora census web page"") for further information.",Sciences;,The Science Sandpit; community; environment; flora; science;,Environment and Science,opendata@dsiti.qld.gov.au,16/10/2014,All combined records,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'. All resources combined into 1.",CSV,2.5 MiB,,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2014/resource/3acf3bc9-4f8f-4362-98f4-b0bc1b900fae,https://data.des.qld.gov.au/__data/assets/file/0028/84196/census-2014-combined.csv,16/10/2014,23/11/2015,undefined,Dataset,VEGETATION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
353,Census of the Queensland Flora 2015,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2015,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'.
Please refer to [Flora census web page](http://www.qld.gov.au/environment/plants-animals/plants/herbarium/flora-census/index.html ""Flora census web page"") for further information.",Environment; Sciences;,The Science Sandpit; community; environment; flora; science;,Environment and Science,opendata@dsiti.qld.gov.au,22/11/2015,All combined records,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'. All resources combined into 1.",CSV,2.5 MiB,,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2015/resource/38b7357a-12de-4a51-af0d-cf3fc5049f59,https://data.des.qld.gov.au/__data/assets/file/0023/84209/census-2015-combined.csv,23/11/2015,undefined,undefined,Dataset,VEGETATION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
305,Census of the Queensland Flora 2016,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2016,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'.  
Please refer to [Flora census web page](http://www.qld.gov.au/environment/plants-animals/plants/herbarium/flora-census/index.html ""Flora census web page"") for further information.",Sciences;,community; environment; flora; science;,Environment and Science,opendata@dsiti.qld.gov.au,9/08/2016,All combined records,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'. All resources combined into 1.",CSV,2.5 MiB,,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2016/resource/9dffd92e-ef65-447f-abdf-57dde10c2f76,https://data.des.qld.gov.au/__data/assets/file/0019/84223/census-2016-combined.csv,9/08/2016,undefined,undefined,Dataset,VEGETATION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
50,Census of the Queensland Flora 2017,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2017,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'.
Please refer to [Flora census web page](http://www.qld.gov.au/environment/plants-animals/plants/herbarium/flora-census/index.html ""Flora census web page"")  page for further information. See also the [Botanical Dictionary](https://data.qld.gov.au/dataset/botanical-dictionary-queensland-2018) for use with spell checkers.",Environment; Sciences;,census; flora; science;,Environment and Science,opendata@dsiti.qld.gov.au,30/10/2018,Bacteria  and Cyanobacteria,"Names, distributions and status of Queensland bacteria and Cyanobacteria.",CSV,35 KiB,,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2017/resource/ff9ce6db-2a91-4939-bada-71261af59447,https://www.data.qld.gov.au/dataset/29c1dddb-91c0-4b6a-a413-920959dce06a/resource/ff9ce6db-2a91-4939-bada-71261af59447/download/census-2017-bacteria-cyanobacteria.csv,30/10/2018,30/10/2018,undefined,Dataset,VEGETATION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
197,Census of the Queensland Flora 2018,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2018,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'.
Please refer to [Flora census web page](http://www.qld.gov.au/environment/plants-animals/plants/herbarium/flora-census/index.html ""Flora census web page"")  page for further information. See also the [Botanical Dictionary](https://data.qld.gov.au/dataset/botanical-dictionary-queensland-2018) for use with spell checkers.",Environment; Sciences;,GovHack 2019; census; community; enviroment; flora; science;,Environment and Science,opendata@dsiti.qld.gov.au,21/08/2017,Bacteria  and Cyanobacteria,"Names, distributions and status of Queensland bacteria and Cyanobacteria.",CSV,35 KiB,,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2018/resource/3caecf7a-a058-43bc-ad73-62231dfde055,https://www.data.qld.gov.au/dataset/eeee2850-1910-4ccb-8a80-208a5647980d/resource/3caecf7a-a058-43bc-ad73-62231dfde055/download/census-2018-bacteria-cyanobacteria.csv,21/08/2017,10/11/2018,undefined,Dataset,VEGETATION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
31,Census of the Queensland Flora 2019,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2019,"Names, distributions and status of Queensland plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'.
Please refer to [Flora census web page](http://www.qld.gov.au/environment/plants-animals/plants/herbarium/flora-census/index.html ""Flora census web page"")  page for further information. See also the [Botanical Dictionary](https://data.qld.gov.au/dataset/botanical-dictionary-queensland-2019) for use with spell checkers.",Environment; Sciences;,census; community; environment; flora; science;,Environment and Science,opendataoffice@dsiti.qld.gov.au,23/01/2020,Full data set,"Names, distributions and status of Queensland native and naturalised plants, algae, fungi, lichens and cyanobacteria, based on the Queensland Herbarium database 'Herbrecs'. All resources combined into one. Additional fields that isolate the components of the Taxon name.",CSV,4.5 MiB,,https://www.data.qld.gov.au/dataset/census-of-the-queensland-flora-2019/resource/b2b7b4ac-575f-43b7-9025-a080e45e62df,https://www.data.qld.gov.au/dataset/11b7b05a-5975-4595-a8ad-c065d3a60704/resource/b2b7b4ac-575f-43b7-9025-a080e45e62df/download/full-data-set.csv,31/01/2020,14/04/2020,undefined,Dataset,VEGETATION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
442,Coastal Data System - Historical wave data,https://www.data.qld.gov.au/dataset/coastal-data-system-historical-wave-data,"Historically measured/calculated wave parameters.  Measured and derived wave data from data collected by oceanographic wave measuring buoys anchored at locations on the Queensland coastline.  
For more information please refer to [www.qld.gov.au/waves](https://www.qld.gov.au/waves).  
  
Field names are;  
**Hs** - Significant wave height, an average of the highest third of the waves in a record (26.6 minute recording period).  
**Hmax** - The maximum wave height in the record.  
**Tz** - The zero upcrossing wave period.  
**Tp** - The peak energy wave period.  
**Dir_Tp TRUE** - Direction (related to true north) from which the peak period waves are coming from.  
**SST** - Approximation of sea surface temperature.",Sciences;,GovHack 2019; The Science Sandpit; community; emergency; science; waves;,Environment and Science,opendata@dsiti.qld.gov.au,10/09/2014,Abbot Point,Abbot Point site for date range 07/05/1977 - 28/06/2000,CSV,2.5 MiB,,https://www.data.qld.gov.au/dataset/coastal-data-system-historical-wave-data/resource/d1ad1ed8-afa3-4069-b3aa-c1839df49ec7,https://www.data.qld.gov.au/dataset/97c218c4-f8e3-474d-b838-2d8469cebd0e/resource/d1ad1ed8-afa3-4069-b3aa-c1839df49ec7/download/abbot-point-07051977to28062000.csv,10/09/2014,9/08/2016,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
156,Coastal Data System - Pressure Data,https://www.data.qld.gov.au/dataset/coastal-data-system-pressure-data,Barometric Pressure Data (hPa) collected at our Storm Tide Gauge sites.,Sciences;,CDS; Pressure;,Environment and Science,opendata@des.qld.gov.au,30/08/2018,Boigu pressure data 2014 - 2017,Historic Boigu Pressure data from July 2014 - December 2017,CSV,61 MiB,,https://www.data.qld.gov.au/dataset/coastal-data-system-pressure-data/resource/35d775b4-949c-4069-882a-590ee29c98e3,https://www.data.qld.gov.au/dataset/3f493f03-2ef8-4e54-b912-e49d48a4d526/resource/35d775b4-949c-4069-882a-590ee29c98e3/download/boigu-island_2014-07-18t00_00-2017-12-31t23_59.csv,30/08/2018,30/08/2018,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
188,Coastal Data System - Sea Surface Temperature (SST),https://www.data.qld.gov.au/dataset/coastal-data-system-sea-surface-temperature-sst,"The Sea Surface Temperature (SST) measured by a Troll attached to the mooring of our Waverider Buoys, ~1.5m below the buoy. 

Total Depth of Troll is ~2.0m.",Environment;,SST; Sea Surface Temperature; community; education; science;,Environment and Science,opendata@dsiti.qld.gov.au,23/11/2017,Mooloolaba SST - 2014 - 2015,Sea Surface Temperature for Mooloolaba for 2014 - 2015,CSV,1 MiB,,https://www.data.qld.gov.au/dataset/coastal-data-system-sea-surface-temperature-sst/resource/c3fcc845-3d03-4335-9467-0bf4d9eccc9c,https://www.data.qld.gov.au/dataset/e816871c-d6f1-4264-9d56-1b749b16adbb/resource/c3fcc845-3d03-4335-9467-0bf4d9eccc9c/download/mooloolaba-sst-2014-15.csv,23/11/2017,21/08/2018,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
174,Coastal Data System - Storm Tide Reference Landmarks,https://www.data.qld.gov.au/dataset/storm-tide-reference-landmarks,"The Department of Environment and Science (DES) provided a report and has established an interactive mapping tool to help relate elevations provided by the Bureau of Meteorology's Storm Tide Advice to easily recognisable landmarks and geographic features. This tool has been created in order to aid understanding and communicating information through Storm Tide Advice Graphics.  
  
For each of the 64 sites identified in the Queensland Tropical Cyclone Storm Tide Warning Response System Handbook, Storm Tide Advice Graphics also known as Totem Poles have been generated showing the relative heights of each identified feature, as well as an image indicating the exact reference point to which is being referred.  
  
The Storm Tide Reference Landmark Project is a joint initiative of the Australian Government and the Queensland Government.",Disaster recovery; Sciences;,Coastal Impacts Unit; Queensland; Stormtide Advice; Stormtide Landmarks; Tides;,Environment and Science,opendata@des.qld.gov.au,4/12/2018,Storm Tide Reference Landmarks.kmz,"This Google Earth map file (.KMZ) has been created in order to provide a more comprehensive and interactive medium for the Stormtide Reference Landmarks Project.   
  
The Storm Tide Reference Landmark Project is a joint initiative of the Australian Government and the Queensland Government, through the NDRP.",KMZ,195.3 MiB,,https://www.data.qld.gov.au/dataset/storm-tide-reference-landmarks/resource/ba4a6e18-c5c0-43d6-958b-849ddf9cf9de,https://www.data.qld.gov.au/dataset/7111676c-f7e0-4312-b0f7-1357d1137e41/resource/ba4a6e18-c5c0-43d6-958b-849ddf9cf9de/download/queensland-storm-tide-reference-landmarks-project.kmz,4/12/2018,30/05/2018,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
340,Coastal Data System - Waves (Albatross Bay),https://www.data.qld.gov.au/dataset/coastal-data-system-waves-albatross-bay,"Measured/Calculated wave parameters.  Measured and derived wave data from data collected by oceanographic wave measuring buoys anchored at Albatross Bay.  This site is jointly operated by the Department of Environment and Science, and the [North Queensland Bulk Ports (NQBP)](http://www.nqbp.com.au/).  
For more information please refer to [www.qld.gov.au/waves](https://www.qld.gov.au/waves).  
  
Field names are;  
**Hs** - Significant wave height, an average of the highest third of the waves in a record (26.6 minute recording period).  
**Hmax** - The maximum wave height in the record.  
**Tz** - The zero upcrossing wave period.  
**Tp** - The peak energy wave period.  
**Dir_Tp TRUE** - Direction (related to true north) from which the peak period waves are coming from.  
**SST** - Approximation of sea surface temperature.",Sciences;,Albatross Bay; The Science Sandpit; Weipa; community; education; emergency; science; waves;,Environment and Science,opendata@des.qld.gov.au,18/02/2016,Wave Data - 2020,2020 wave data from the Albatross Bay site (January 1 - March 31),CSV,251 KiB,,https://www.data.qld.gov.au/dataset/coastal-data-system-waves-albatross-bay/resource/b12337ed-8e23-48f4-a92f-d6ec748e56e5,https://www.data.qld.gov.au/dataset/a3eaca4a-ca15-48b3-b36c-d28028696db2/resource/b12337ed-8e23-48f4-a92f-d6ec748e56e5/download/albatross-bay_2020-01-01t00_00-2020-03-31t23_30.csv,2/06/2020,4/02/2020,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
420,Coastal Data System - Waves (Brisbane),https://www.data.qld.gov.au/dataset/coastal-data-system-waves-brisbane,"Measured/Calculated wave parameters.  Measured and derived wave data from data collected by oceanographic wave measuring buoys anchored at Brisbane.   
Please note that as at the 01/05/2017 the data at this site has been upgraded, as the site now has a new buoy type which uses a higher measuring frequency of 2.5Hz.  
  
For more information please refer to [www.qld.gov.au/waves](https://www.qld.gov.au/waves/).  
  
Field names are;  
**Hs** - Significant wave height, an average of the highest third of the waves in a record (26.6 minute recording period).  
**Hmax** - The maximum wave height in the record.  
**Tz** - The zero upcrossing wave period.  
**Tp** - The peak energy wave period.  
**Dir_Tp TRUE** - Direction (related to true north) from which the peak period waves are coming from.  
**SST** - Approximation of sea surface temperature.",Sciences;,Brisbane; North Stradbroke Island; The Science Sandpit; community; education; emergency; science; waves;,Environment and Science,opendata@des.qld.gov.au,3/06/2015,Wave data Mk4 - 2020,2020 Mk4 Wave Data from the Brisbane site (January 1 - March 31),CSV,251 KiB,,https://www.data.qld.gov.au/dataset/coastal-data-system-waves-brisbane/resource/0e525f71-8df4-4cf2-8f57-76f66b7b67c8,https://www.data.qld.gov.au/dataset/0a54151e-5ef7-4257-85c7-84ba4662f03f/resource/0e525f71-8df4-4cf2-8f57-76f66b7b67c8/download/brisbane-mk4_2020-01-01t00_00-2020-03-31t23_30.csv,13/02/2020,4/02/2020,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
337,Coastal Data System - Waves (Bundaberg),https://www.data.qld.gov.au/dataset/coastal-data-system-waves-bundaberg,"Measured/Calculated wave parameters.  Measured and derived wave data from data collected by oceanographic wave measuring buoys anchored at Bundaberg.    
For more information please refer to [www.qld.gov.au/waves](https://www.qld.gov.au/waves).  
  
Field names are;  
**Hs** - Significant wave height, an average of the highest third of the waves in a record (26.6 minute recording period).  
**Hmax** - The maximum wave height in the record.  
**Tz** - The zero upcrossing wave period.  
**Tp** - The peak energy wave period.  
**Dir_Tp TRUE** - Direction not captured.  
**SST** - Not reported.",Sciences;,Bundaberg; The Science Sandpit; community; education; emergency; science; waves;,Environment and Science,opendata@des.qld.gov.au,24/02/2016,Wave Data - 2020,2020 wave data from the Bundaberg site (January 1 -  March 31),CSV,243.5 KiB,,https://www.data.qld.gov.au/dataset/coastal-data-system-waves-bundaberg/resource/d7bd6cb3-378f-471a-98ef-23a9b4455c25,https://www.data.qld.gov.au/dataset/b2282253-e761-4d75-89ff-8f77cf43d501/resource/d7bd6cb3-378f-471a-98ef-23a9b4455c25/download/bundaberg_2020-01-01t00_00-2020-03-31t23_30.csv,2/06/2020,4/02/2020,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
507,Coastal Data System - Waves (Cairns),https://www.data.qld.gov.au/dataset/coastal-data-system-waves-cairns,"Measured/Calculated wave parameters.  Measured and derived wave data from data collected by oceanographic wave measuring buoys anchored at locations on the Queensland coastline.  
For more information please refer to [www.qld.gov.au/waves](https://www.qld.gov.au/waves).  
  
Field names are;  
**Hs** - Significant wave height, an average of the highest third of the waves in a record (26.6 minute recording period).  
**Hmax** - The maximum wave height in the record.  
**Tz** - The zero upcrossing wave period.  
**Tp** - The peak energy wave period.  
**Dir_Tp TRUE** - Direction (related to true north) from which the peak period waves are coming from.  
**SST** - Approximation of sea surface temperature.",Sciences;,The Science Sandpit; cairns; community; education; emergency; science; waves;,Environment and Science,opendata@des.qld.gov.au,5/07/2014,Wave Data - 2020,2020 wave data from the Cairns site (January 1 -  March 31),CSV,248.5 KiB,,https://www.data.qld.gov.au/dataset/coastal-data-system-waves-cairns/resource/7c7b721a-6967-49fe-8074-20da3f975465,https://www.data.qld.gov.au/dataset/a34ae7af-1561-443c-ad58-c19766d8354c/resource/7c7b721a-6967-49fe-8074-20da3f975465/download/cairns_2020-01-01t00_00-2020-03-31t23_30.csv,2/06/2020,4/02/2020,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
339,Coastal Data System - Waves (Caloundra),https://www.data.qld.gov.au/dataset/coastal-data-system-waves-caloundra,"Measured/Calculated wave parameters.  Measured and derived wave data from data collected by oceanographic wave measuring buoys anchored at Caloundra.  This site is jointly operated by the Department of Environment and  Science and the [Port of Brisbane Corporation (PoBC)](https://www.portbris.com.au).  
For more information please refer to [www.qld.gov.au/waves](https://www.qld.gov.au/waves).  
  
Field names are;  
**Hs** - Significant wave height, an average of the highest third of the waves in a record (26.6 minute recording period).  
**Hmax** - The maximum wave height in the record.  
**Tz** - The zero upcrossing wave period.  
**Tp** - The peak energy wave period.  
**Dir_Tp TRUE** - Direction (related to true north) from which the peak period waves are coming from.  
**SST** - Approximation of sea surface temperature.",Sciences;,Caloundra; North Bribie Island; The Science Sandpit; community; education; emergency; science; waves;,Environment and Science,opendata@des.qld.gov.au,18/02/2016,Wave Data - 2020,2020 wave data from the Caloundra site (January 1 -  March 31),CSV,245 KiB,,https://www.data.qld.gov.au/dataset/coastal-data-system-waves-caloundra/resource/fdd1bc53-1d59-46bd-a5a6-90c18f851bd8,https://www.data.qld.gov.au/dataset/52689eca-688c-4043-8a8d-ff75e8022952/resource/fdd1bc53-1d59-46bd-a5a6-90c18f851bd8/download/caloundra-pob_2020-01-01t00_00-2020-03-31t23_30.csv,2/06/2020,4/02/2020,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
419,Coastal Data System - Waves (Emu Park),https://www.data.qld.gov.au/dataset/coastal-data-system-waves-emu-park,"Measured/Calculated wave parameters.  Measured and derived wave data from data collected by oceanographic wave measuring buoys anchored at Emu Park.  
For more information please refer to [www.qld.gov.au/waves](https://www.qld.gov.au/waves).  
  
Field names are;  
**Hs** - Significant wave height, an average of the highest third of the waves in a record (26.6 minute recording period).  
**Hmax** - The maximum wave height in the record.  
**Tz** - The zero upcrossing wave period.  
**Tp** - The peak energy wave period.  
**Dir_Tp TRUE** - Direction (related to true north) from which the peak period waves are coming from.  
**SST** - Approximation of sea surface temperature.",Sciences;,Emu Park; The Science Sandpit; cummunity; education; emergency; science; waves;,Environment and Science,opendata@des.qld.gov.au,3/06/2015,Wave Data - 2020,2020 wave data from the Emu Park site (January 1 -  March 31),CSV,248.5 KiB,,https://www.data.qld.gov.au/dataset/coastal-data-system-waves-emu-park/resource/1efb589c-4e7f-485b-8770-fbecb06bc2f1,https://www.data.qld.gov.au/dataset/2a7fd559-d189-4eb3-8636-23da25599c59/resource/1efb589c-4e7f-485b-8770-fbecb06bc2f1/download/emu-park_2020-01-01t00_00-2020-03-31t23_30.csv,2/06/2020,4/02/2020,undefined,Dataset,COASTAL,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
